issue_id,commit_id,commit_time,committer_id,issue_content,issue_type,issue_status,issue_open_time,issue_close_time,issue_creator,issue_closer
110055,a608fba48c55ebb94ebb3c1991a4137e0b8af875,2022-05-19 09:21:20-07:00,GitHub,Increase csiNodeInfoTimeout from 1 minute to 2 minutes,area/test,closed,2022-05-14T20:40:16Z,2022-05-19T16:21:20Z,brianpursley,k8s-ci-robot
110129,32773d61c4d3b111a1a99fcdeaced5085837a10c,2022-05-19 09:21:32-07:00,GitHub,Fix stop signal to drained signal in genericapiserver config,kind/cleanup,closed,2022-05-19T14:03:38Z,2022-05-19T16:21:32Z,wojtek-t,k8s-ci-robot
109835,6ca849f1f26403297ff465eed4010537ee81c26b,2022-05-19 11:35:53-07:00,GitHub,Use CEL EagerlyValidateDeclarations to improve compilation performance,kind/bug,closed,2022-05-05T18:02:18Z,2022-05-19T18:35:54Z,cici37,k8s-ci-robot
110010,ccaf683b9f6e2176a64b38a9fd2b0c361d329fe3,2022-05-19 14:03:54-07:00,GitHub,remove enabled by default beta resources that have been removed,kind/cleanup,closed,2022-05-12T13:32:06Z,2022-05-19T21:03:55Z,deads2k,k8s-ci-robot
110134,e34f51e9b222045abfdefd967ecb4ac2ac07c631,2022-05-19 14:04:05-07:00,GitHub,kubeadm: Parse ENV vars to crictl command,kind/bug,closed,2022-05-19T16:27:44Z,2022-05-19T21:04:06Z,mk46,k8s-ci-robot
109719,4ab90ccebb0e22396b5e10cfd58bb34641bc766f,2022-05-19 15:13:53-07:00,GitHub,auth e2e: node_authn test: don't expect a SA secret,area/test,closed,2022-04-29T09:21:25Z,2022-05-19T22:13:53Z,stlaz,k8s-ci-robot
110137,3308ce1caf34939c4c254eddd8eba756fdbfb032,2022-05-19 22:05:13-07:00,GitHub,kubeadm: cleanup OldControlPlaneTaint from unit tests,priority/backlog,closed,2022-05-19T18:56:45Z,2022-05-20T05:05:13Z,neolit123,k8s-ci-robot
110132,5debaee45ee24ea6bcaa204b29751c3834332672,2022-05-19 23:41:13-07:00,GitHub,apiserver: improve graceful termination tests,kind/documentation,closed,2022-05-19T16:18:06Z,2022-05-20T06:41:13Z,tkashem,k8s-ci-robot
110141,0f8b0e14aeb292deef0c652cd9aab4aaf6da7468,2022-05-20 03:45:12-07:00,GitHub,kubeadm: remove unused ImagesPull,priority/backlog,closed,2022-05-20T02:56:31Z,2022-05-20T10:45:12Z,chymy,k8s-ci-robot
108787,6dc592e34752b7bce74e24c7f6c6509a52dd9089,2022-05-20 16:50:00-07:00,GitHub,filter out terminated containers in cadvisor_stats_provider,kind/bug,closed,2022-03-18T02:37:53Z,2022-05-20T23:50:01Z,249043822,k8s-ci-robot
110069,fbb57172799b1bd85b5480578aa49465ef84d140,2022-05-20 16:50:12-07:00,GitHub,Fix maxUnavailable of StatefulSet should not less than 1,kind/bug,closed,2022-05-16T09:02:56Z,2022-05-20T23:50:12Z,FillZpp,k8s-ci-robot
108806,1fd959e256f7925f055ebbe19c3e7858f2cada42,2022-05-22 03:31:00-07:00,gkarthiks,Cleanup: kube-proxy internal naming,sig/network,closed,2022-03-18T18:36:30Z,2022-11-03T01:21:07Z,thockin,k8s-ci-robot
110100,9997897f44976f8969fcc79678cddc291987fab4,2022-05-22 23:26:01-07:00,GitHub,client-go: fix backoff delay,kind/bug,closed,2022-05-18T03:52:16Z,2022-05-23T06:26:02Z,tkashem,k8s-ci-robot
110138,e9f1c9cc7ccb23898a08212d995c3f5114e8b338,2022-05-23 04:06:01-07:00,GitHub,Fix leaking goroutines in kubelet integration test,area/test,closed,2022-05-19T20:30:44Z,2022-05-23T11:06:02Z,wojtek-t,k8s-ci-robot
